cif_file,formula,target
Zr1_ICSD_164572.cif,Zr1,999
K2Mg5Sn3_ICSD_421342.cif,K2Mg5Sn3,999
C1In1La3_ICSD_80956.cif,C1In1La3,999
Al3B2Ru4_ICSD_43844.cif,Al3B2Ru4,999
Au1Ho1Pb1_ICSD_58487.cif,Au1Ho1Pb1,999
F2Xe1_ICSD_260950.cif,F2Xe1,999
Dy1S2_ICSD_630195.cif,Dy1S2,999
Nb3Te4_ICSD_16606.cif,Nb3Te4,999
Rb2Te1_ICSD_182743.cif,Rb2Te1,999
Sb2Tb1_ICSD_651606.cif,Sb2Tb1,999
Hf1Pd5_ICSD_168289.cif,Hf1Pd5,999
O3Pb1Zr1_ICSD_262104.cif,O3Pb1Zr1,999
Ag1Al1Se2_ICSD_28745.cif,Ag1Al1Se2,999
Pd1Sb1Tb1_ICSD_648792.cif,Pd1Sb1Tb1,999
Ga1La1Zn1_ICSD_634520.cif,Ga1La1Zn1,999
Ag1As1S1_ICSD_604740.cif,Ag1As1S1,999
Ca1Pd1_ICSD_58926.cif,Ca1Pd1,999
Cd2Yb1_ICSD_620601.cif,Cd2Yb1,999
K1Li1Se1_ICSD_290451.cif,K1Li1Se1,999
Al2N1Nb3_ICSD_60644.cif,Al2N1Nb3,999
Pt7Sb1_ICSD_54340.cif,Pt7Sb1,999
Ag1Er1_ICSD_167893.cif,Ag1Er1,999
Ca2O4Pb1_ICSD_36629.cif,Ca2O4Pb1,999
Cl4K2Pd1_ICSD_23997.cif,Cl4K2Pd1,999
P1Ru1Zr1_ICSD_648037.cif,P1Ru1Zr1,999
As1Li1Mg1_ICSD_107954.cif,As1Li1Mg1,999
Au1Ga1Zr1_ICSD_156264.cif,Au1Ga1Zr1,999
In2Li1Rh1_ICSD_106806.cif,In2Li1Rh1,999
Ca3Ge13Ir4_ICSD_619308.cif,Ca3Ge13Ir4,999
Ba1Mg4Si3_ICSD_165630.cif,Ba1Mg4Si3,999
Mo3P1_ICSD_43238.cif,Mo3P1,999
Ni1Zr2_ICSD_102805.cif,Ni1Zr2,999
As1Hf1Ru1_ICSD_610654.cif,As1Hf1Ru1,999
Co2Ge1Zn1_ICSD_52994.cif,Co2Ge1Zn1,999
N1Ni2W3_ICSD_86170.cif,N1Ni2W3,999
B6K1_ICSD_166487.cif,B6K1,999
Lu1Pb2_ICSD_104811.cif,Lu1Pb2,999
Au1Dy1_ICSD_58439.cif,Au1Dy1,999
Pt3Sn1_ICSD_105795.cif,Pt3Sn1,999
Sn1Zr3_ICSD_106108.cif,Sn1Zr3,999
Bi1_ICSD_51674.cif,Bi1,999
In1P1Pd5_ICSD_640193.cif,In1P1Pd5,999
In2O3_ICSD_14387.cif,In2O3,999
C1Sc3Tl1_ICSD_50164.cif,C1Sc3Tl1,999
Al1Pd1Y1_ICSD_156923.cif,Al1Pd1Y1,999
Ho1In3_ICSD_104411.cif,Ho1In3,999
Dy1Rh2Si2_ICSD_108427.cif,Dy1Rh2Si2,999
Al2Y1_ICSD_186476.cif,Al2Y1,999
Pu1Se1_ICSD_649958.cif,Pu1Se1,999
Co1Y1_ICSD_20954.cif,Co1Y1,999
Al4Er1Ni1_ICSD_57779.cif,Al4Er1Ni1,999
Er5Si3_ICSD_57268.cif,Er5Si3,999
As1Hf1_ICSD_42915.cif,As1Hf1,999
Be2Re1_ICSD_58732.cif,Be2Re1,999
Al1Ge1Sc1_ICSD_608009.cif,Al1Ge1Sc1,999
C1Pb1Pd3_ICSD_108178.cif,C1Pb1Pd3,999
Cu2In1Y1_ICSD_103023.cif,Cu2In1Y1,999
Hf1Pt1_ICSD_104257.cif,Hf1Pt1,999
As3La4_ICSD_610771.cif,As3La4,999
Al16Hf6Pd7_ICSD_608137.cif,Al16Hf6Pd7,999
Ba1Os2P2_ICSD_602106.cif,Ba1Os2P2,999
B6Os1Y2_ICSD_603494.cif,B6Os1Y2,999
Ho1In1_ICSD_104410.cif,Ho1In1,999
Er1Ru2Si2_ICSD_106608.cif,Er1Ru2Si2,999
Au1Be5_ICSD_150580.cif,Au1Be5,999
Rh2Si2Y1_ICSD_602257.cif,Rh2Si2Y1,999
Ce1Ga1Ni1_ICSD_102171.cif,Ce1Ga1Ni1,999
Au1Ca1Cd1_ICSD_420574.cif,Au1Ca1Cd1,999
Ga12Lu4Pd1_ICSD_634587.cif,Ga12Lu4Pd1,999
O6Os2Rb1_ICSD_161127.cif,O6Os2Rb1,999
Dy1Ga1Pt1_ICSD_629731.cif,Dy1Ga1Pt1,999
Pt1Sb2_ICSD_43105.cif,Pt1Sb2,999
La1Rh2_ICSD_104705.cif,La1Rh2,999
Er1Ge2Rh2_ICSD_630646.cif,Er1Ge2Rh2,999
F6K2Mn1_ICSD_47213.cif,F6K2Mn1,999
Ho2Rh3Sn5_ICSD_639639.cif,Ho2Rh3Sn5,999
Cl6Cs2Te1_ICSD_26704.cif,Cl6Cs2Te1,999
Ni2Si2Zr1_ICSD_20317.cif,Ni2Si2Zr1,999
P1Rh2_ICSD_38356.cif,P1Rh2,999
Au1Pb4Rb3_ICSD_107447.cif,Au1Pb4Rb3,999
N1Ru2Zr4_ICSD_644658.cif,N1Ru2Zr4,999
Ca1O3Ti1_ICSD_153173.cif,Ca1O3Ti1,999
As1Fe1Nb1_ICSD_610502.cif,As1Fe1Nb1,999
Au1Cu4Tb1_ICSD_611769.cif,Au1Cu4Tb1,999
Ir5Th1_ICSD_104573.cif,Ir5Th1,999
P2Zn3_ICSD_24487.cif,P2Zn3,999
In1Pd2_ICSD_417907.cif,In1Pd2,999
As2Cu1Er1_ICSD_412553.cif,As2Cu1Er1,999
Al1F3_ICSD_130021.cif,Al1F3,999
C2Ir1_ICSD_181489.cif,C2Ir1,999
Cu4O3_ICSD_100566.cif,Cu4O3,999
Ir2S3Sn3_ICSD_640953.cif,Ir2S3Sn3,999
Si136_ICSD_56721.cif,Si136,999
Ce2Pd21Si6_ICSD_174079.cif,Ce2Pd21Si6,999
O4Sb1V1_ICSD_84567.cif,O4Sb1V1,999
In1Pt2Tb1_ICSD_640312.cif,In1Pt2Tb1,999
Sr1Tl2_ICSD_106111.cif,Sr1Tl2,999
Ca1O3Rh1_ICSD_164775.cif,Ca1O3Rh1,999
